,County,Sanders,Biden,Bloomberg,Warren,Rpt.
0,Los Angeles,329108,233020,97276,105764,71%
1,San Diego,80540,65869,39603,32837,100%
2,Orange,83236,57078,36310,22671,100%
3,Santa Clara,49818,30916,27243,18261,55%
4,San Francisco,47705,32196,19946,32817,100%
5,Riverside,39672,33345,19742,10354,76%
6,Alameda,43745,30590,15341,23137,89%
7,San Bernardino,47324,37675,15188,8931,100%
8,Contra Costa,30361,29938,21648,13779,100%
9,San Mateo,25443,18576,18356,12198,65%
10,Sacramento,28646,18448,13202,9410,100%
11,Ventura,24131,21507,10562,8755,100%
12,Sonoma,20942,13906,11709,9519,100%
13,Solano,14545,17452,8022,5190,100%
14,Fresno,17248,12023,7319,3952,52%
15,Marin,10742,11613,9738,7162,79%
16,Santa Cruz,15999,9524,4143,6668,100%
17,Santa Barbara,14103,9187,5013,5487,100%
18,Monterey,12055,9413,5770,4098,100%
19,San Luis Obispo,9692,7678,4028,4740,99%
20,Placer,7531,8336,5770,3242,96%
21,Kern,9888,8232,4297,2251,100%
22,San Joaquin,8684,8621,5314,1875,78%
23,Stanislaus,7252,5681,4110,1580,100%
24,Butte,7386,3904,2012,2855,100%
25,Yolo,7054,4799,2290,3443,100%
26,Tulare,7302,5461,2826,1406,49%
27,El Dorado,4770,4533,2986,2232,100%
28,Humboldt,8542,3075,1008,2653,100%
29,Napa,3183,1932,3086,1466,100%
30,Merced,4271,3011,1710,829,100%
31,Nevada,4243,1642,1722,1461,100%
32,Shasta,2869,2692,1038,1161,100%
33,Madera,2780,2019,1290,591,100%
34,Mendocino,3206,1152,839,1013,99%
35,Imperial,3005,2089,878,421,100%
36,Tuolumne,1724,1482,1119,677,100%
37,Amador,1150,1602,949,604,100%
38,Siskiyou,1788,1284,508,743,84%
39,San Benito,1728,1093,801,413,100%
40,Sutter,1716,1029,696,327,100%
41,Calaveras,1086,829,810,423,100%
42,Lake,1088,1022,626,302,100%
43,Kings,997,953,547,201,74%
44,Yuba,953,803,526,249,100%
45,Tehama,773,673,301,265,100%
46,Plumas,689,468,343,345,100%
47,Del Norte,932,640,213,304,100%
48,Inyo,656,414,237,251,100%
49,Mono,594,527,173,268,100%
50,Mariposa,516,378,222,255,80%
51,Lassen,349,373,116,152,100%
52,Glenn,327,289,149,95,100%
53,Trinity,425,255,105,127,100%
54,Colusa,313,205,135,65,100%
55,Modoc,151,121,51,59,100%
56,Sierra,105,79,55,59,<1%
57,Alpine,81,66,15,45,100%
